Esta_na_Capa,Grupo,Subgrupo,Primeiro_Capitulo,Ultimo_Capitulo,Porcentagem_de_Capitulos_do_Volume,E_a_Primeira_Aparicao_no_manga,Distancia_da_Primeira_Aparicao_em_capitulos,Numero_total_de_capitulos_que_apareceu,Numero_de_capitulos_ate_o_volume,Nome_do_Personagem,Volume,Numero_de_Capitulos_no_Volume,Distancia_da_Primeira_Aparicao_em_volumes,Volume_num
0,Pirates,Alvida Pirates,0,0,0.0,1,,1,0,Alvida,Volume_1,1,0.0,1
0,Marines,Captain,0,0,0.0,1,,5,0,Morgan,Volume_1,5,0.0,1
1,Pirates,Others,1,1,0.25,1,,2,0,Nami,Volume_1,2,0.0,1
0,Animals,Organ Islands,0,0,0.0,1,,1,0,Pinky,Volume_1,1,0.0,1
0,Pirates,Alvida Pirates,0,0,0.0,1,,1,0,Poppoko,Volume_1,1,0.0,1
0,Citizens,Shells Town,0,0,0.0,1,,3,0,Rika,Volume_1,3,0.0,1
0,Marines,Captain,0,0,0.0,1,,1,0,Ripper,Volume_1,1,0.0,1
0,Citizens,Shells Town,0,0,0.0,1,,2,0,Ririka,Volume_1,2,0.0,1
0,Pirates,Red Hair Pirates,1,0,0.0,1,,1,0,Monster,Volume_1,1,0.0,1
0,Marines,Captain,0,0,0.0,1,,1,0,Rokkaku,Volume_1,1,0.0,1
0,Pirates,Red Hair Pirates,1,0,0.0,1,,2,0,Shanks,Volume_1,2,0.0,1
0,Animals,Others,0,0,0.0,1,,1,0,Soro,Volume_1,1,0.0,1
0,Pirates,Buggy Pirates,0,0,0.0,1,,1,0,Superhuman Domingos,Volume_1,1,0.0,1
0,Pirates,Buggy Pirates,0,0,0.0,1,,1,0,Tightrope Walking Funan Bros,Volume_1,1,0.0,1
0,Marines,Captain,0,0,0.0,1,,1,0,Ukkari,Volume_1,1,0.0,1
0,Citizens,Foosha Village,1,0,0.0,1,,1,0,Woop Slap,Volume_1,1,0.0,1
0,Pirates,Red Hair Pirates,1,0,0.0,1,,1,0,Yasopp,Volume_1,1,0.0,1
1,Bounty Hunters,Others,0,1,0.88,1,,7,0,Roronoa Zoro,Volume_1,7,0.0,1
1,Pirates,Others,1,1,1.0,1,,8,0,Monkey D. Luffy,Volume_1,8,0.0,1
0,Pirates,Alvida Pirates,0,0,0.0,1,,1,0,Peppoko,Volume_1,1,0.0,1
0,Citizens,Foosha Village,1,0,0.0,1,,1,0,Makino,Volume_1,1,0.0,1
0,Citizens,Others,1,0,0.0,1,,1,0,Anjo,Volume_1,1,0.0,1
0,Pirates,Red Hair Pirates,1,0,0.0,1,,1,0,Benn Beckman,Volume_1,1,0.0,1
