Esta_na_Capa,Grupo,Subgrupo,Primeiro_Capitulo,Ultimo_Capitulo,Porcentagem_de_Capitulos_do_Volume,E_a_Primeira_Aparicao_no_manga,Distancia_da_Primeira_Aparicao_em_capitulos,Numero_total_de_capitulos_que_apareceu,Numero_de_capitulos_ate_o_volume,Nome_do_Personagem,Volume,Numero_de_Capitulos_no_Volume,Distancia_da_Primeira_Aparicao_em_volumes,Volume_num
0,Pirates,Red Hair Pirates,1,7,0.0,1,,2,0,Shanks,Volume_1,2,0.0,1
0,Pirates,Alvida Pirates,2,2,0.0,1,,1,0,Poppoko,Volume_1,1,0.0,1
0,Citizens,Others,2,7,0.0,1,,6,0,Koby,Volume_1,6,0.0,1
0,Marines,Captain,3,7,0.0,1,,5,0,Morgan,Volume_1,5,0.0,1
0,Citizens,Shells Town,3,7,0.0,1,,5,0,Helmeppo,Volume_1,5,0.0,1
0,Citizens,Shells Town,3,7,0.0,1,,3,0,Rika,Volume_1,3,0.0,1
0,Animals,Others,3,3,0.0,1,,1,0,Soro,Volume_1,1,0.0,1
0,Marines,Captain,4,4,0.0,1,,1,0,Rokkaku,Volume_1,1,0.0,1
0,Pirates,Alvida Pirates,2,2,0.0,1,,1,0,Peppoko,Volume_1,1,0.0,1
0,Marines,Captain,4,4,0.0,1,,1,0,Ukkari,Volume_1,1,0.0,1
0,Citizens,Shells Town,5,5,0.0,1,,1,0,Kuina,Volume_1,1,0.0,1
0,Citizens,Shells Town,5,5,0.0,1,,1,0,Koushirou,Volume_1,1,0.0,1
0,Pirates,Buggy Pirates,7,7,0.0,1,,1,0,Buggy,Volume_1,1,0.0,1
0,Marines,Captain,7,7,0.0,1,,1,0,Ripper,Volume_1,1,0.0,1
0,Pirates,Buggy Pirates,8,8,0.0,1,,1,0,Tightrope Walking Funan Bros,Volume_1,1,0.0,1
0,Pirates,Buggy Pirates,8,8,0.0,1,,1,0,Superhuman Domingos,Volume_1,1,0.0,1
0,Animals,Organ Islands,8,8,0.0,1,,1,0,Pinky,Volume_1,1,0.0,1
